[21-Mar-2023 14:51:28 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:\webroot\LocalUser\websocket\ci\application\controllers/vendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\application\controllers\Welcome.php on line 3
[21-Mar-2023 14:53:19 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:\webroot\LocalUser\websocket\ci\application\controllers/vendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\application\controllers\Welcome.php on line 3
[21-Mar-2023 14:54:52 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:\webroot\LocalUser\websocket\ci\application\libraries/Ratchet/vendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\application\controllers\Welcome.php on line 3
[21-Mar-2023 15:33:27 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:\webroot\LocalUser\websocket\ci\application\controllers/vendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\application\controllers\Welcome.php on line 5
[21-Mar-2023 15:34:27 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:\webroot\LocalUser\websocket\ci\application\controllers/vendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\application\controllers\Welcome.php on line 5
[21-Mar-2023 15:35:18 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:\webroot\LocalUser\websocket\ci\application\controllers../../vendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\application\controllers\Welcome.php on line 5
[21-Mar-2023 15:36:43 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:\webroot\LocalUser\websocket\ci\application\controllersvendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\application\controllers\Welcome.php on line 5
[21-Mar-2023 15:37:24 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:\webroot\LocalUser\websocket\ci\application\controllersvendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\application\controllers\Welcome.php on line 5
[21-Mar-2023 15:37:59 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:\webroot\LocalUser\websocket\ci\application\controllers/vendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\application\controllers\Welcome.php on line 5
[21-Mar-2023 16:48:29 UTC] PHP Warning:  Use of undefined constant FCPATH - assumed 'FCPATH' (this will throw an Error in a future version of PHP) in E:\webroot\LocalUser\websocket\ci\index.php on line 56
[21-Mar-2023 16:48:29 UTC] PHP Warning:  require_once(FCPATHvendor/autoload.php): failed to open stream: No such file or directory in E:\webroot\LocalUser\websocket\ci\index.php on line 56
[21-Mar-2023 16:48:29 UTC] PHP Fatal error:  require_once(): Failed opening required 'FCPATHvendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\index.php on line 56
[21-Mar-2023 16:48:32 UTC] PHP Warning:  Use of undefined constant FCPATH - assumed 'FCPATH' (this will throw an Error in a future version of PHP) in E:\webroot\LocalUser\websocket\ci\index.php on line 56
[21-Mar-2023 16:48:32 UTC] PHP Warning:  require_once(FCPATHvendor/autoload.php): failed to open stream: No such file or directory in E:\webroot\LocalUser\websocket\ci\index.php on line 56
[21-Mar-2023 16:48:32 UTC] PHP Fatal error:  require_once(): Failed opening required 'FCPATHvendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\index.php on line 56
[21-Mar-2023 16:49:06 UTC] PHP Warning:  Use of undefined constant FCPATH - assumed 'FCPATH' (this will throw an Error in a future version of PHP) in E:\webroot\LocalUser\websocket\ci\index.php on line 56
[21-Mar-2023 16:49:06 UTC] PHP Warning:  require_once(FCPATHvendor/autoload.php): failed to open stream: No such file or directory in E:\webroot\LocalUser\websocket\ci\index.php on line 56
[21-Mar-2023 16:49:06 UTC] PHP Fatal error:  require_once(): Failed opening required 'FCPATHvendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\index.php on line 56
[21-Mar-2023 16:53:50 UTC] PHP Warning:  Use of undefined constant FCPATH - assumed 'FCPATH' (this will throw an Error in a future version of PHP) in E:\webroot\LocalUser\websocket\ci\index.php on line 60
[21-Mar-2023 16:53:50 UTC] PHP Warning:  require_once(FCPATHvendor/autoload.php): failed to open stream: No such file or directory in E:\webroot\LocalUser\websocket\ci\index.php on line 60
[21-Mar-2023 16:53:50 UTC] PHP Fatal error:  require_once(): Failed opening required 'FCPATHvendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\index.php on line 60
[21-Mar-2023 16:55:13 UTC] PHP Notice:  Constant FCPATH already defined in E:\webroot\LocalUser\websocket\ci\index.php on line 239
[21-Mar-2023 16:55:50 UTC] PHP Warning:  Use of undefined constant FCPATH - assumed 'FCPATH' (this will throw an Error in a future version of PHP) in E:\webroot\LocalUser\websocket\ci\index.php on line 61
[21-Mar-2023 16:55:50 UTC] PHP Warning:  require_once(FCPATHvendor/autoload.php): failed to open stream: No such file or directory in E:\webroot\LocalUser\websocket\ci\index.php on line 61
[21-Mar-2023 16:55:50 UTC] PHP Fatal error:  require_once(): Failed opening required 'FCPATHvendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\index.php on line 61
[21-Mar-2023 16:56:23 UTC] PHP Warning:  Use of undefined constant FCPATH - assumed 'FCPATH' (this will throw an Error in a future version of PHP) in E:\webroot\LocalUser\websocket\ci\index.php on line 61
[21-Mar-2023 16:56:23 UTC] PHP Warning:  require_once(FCPATH/vendor/autoload.php): failed to open stream: No such file or directory in E:\webroot\LocalUser\websocket\ci\index.php on line 61
[21-Mar-2023 16:56:23 UTC] PHP Fatal error:  require_once(): Failed opening required 'FCPATH/vendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\index.php on line 61
[21-Mar-2023 17:00:45 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:\webroot\LocalUser\websocket\ci\application\librariesvendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\application\libraries\Websocket_client.php on line 2
[21-Mar-2023 17:12:07 UTC] PHP Fatal error:  require_once(): Failed opening required 'E:\webroot\LocalUser\websocket\ci\application\vendor/autoload.php' (include_path='.;C:\php\pear') in E:\webroot\LocalUser\websocket\ci\application\controllers\Welcome.php on line 5
